Debut,RR Men,LL Men,UL Men,RR Women,LL Women,UL Women
Age 15 / Age 16,1.5445981286936739,1.3552944562864397,1.7317165013617974,1.385350529262983,1.2470179417675444,1.5290241729100893
Age 15 / Age 17,0.9481262015743822,0.7825652199514226,1.128778024215454,1.1701357154948149,0.9927796057391011,1.3654406986448044
Age 15 / Age 18,1.0822886795527369,0.9404837652293871,1.2310316250766689,1.2736381669744732,1.0919758536636026,1.4642221190401046
Age 15 / Age 19,0.9213623097586695,0.7783766597416455,1.0929498556911685,1.2136373288551525,0.9745084719088192,1.4997146318570591
Age 16 / Age 17,0.61444083866752,0.5223872246288243,0.7176737664271905,0.8457058895816675,0.7148747694092387,0.9850485676024936
Age 16 / Age 18,0.7014455449339332,0.6324573269256205,0.7749271932473728,0.9205509437155527,0.7901352133972366,1.0562841268245329
Age 16 / Age 19,0.5970355757378867,0.5158802448597776,0.6898308192827824,0.8770851288702244,0.7124661677164262,1.0838428906637365
Age 17 / Age 18,1.1479098132065069,0.9550120065403839,1.3383849039911189,1.09419364835202,0.8996650937243339,1.3160292767876294
Age 17 / Age 19,0.9770522490043023,0.7847996197938806,1.1642180877026476,1.0426825050119346,0.7960916478029652,1.3127301130564213
Age 18 / Age 19,0.8526376315055708,0.731576242963242,0.9910949529996629,0.9567922143186575,0.7313424835836329,1.1867778269079186
