Parameter,Est,Est LL,Est UL,Diff,Diff LL,Diff UL
Men: Intercept,1.3223493900999816,0.8670229043177382,1.7510251893954565,,,
Women: Intercept,1.2600792595368895,0.8224018585283762,1.684208659125955,-0.06227013056309218,-0.6782340000376514,0.5267375466207607
Men: Birth Quarter,0.11229488019119087,0.06997592085197675,0.15541114358639463,,,
Women: Birth Quarter,0.0883481927648607,0.03622662159120446,0.1377569462703362,-0.02394668742633017,-0.09087239864575974,0.04069052140461937
Men: Ranking Points,0.25356355049321044,-0.05959127028559855,0.576278923195692,,,
Women: Ranking Points,0.7041771834691778,0.3514079427245148,1.071097512945623,0.4506136329759674,-0.041744683449329134,0.9394786942524063
Category,0.793560068806693,0.41855010853672364,1.2617862468311885,,,
Category × Ranking Points,0.2591015397437941,0.02472045425369939,0.5705092755302525,,,
