gender,debut,n,16,17,18,19,20,mean,16_cum,17_cum,18_cum,19_cum,20_cum
Men,15,397,93.95465994962217,85.25469168900804,92.76729559748428,77.96610169491525,82.17391304347827,87.10477371357719,93.95465994962217,80.10075566750629,74.30730478589422,57.93450881612091,47.60705289672544
Men,16,3075,,60.06504065040651,95.2896589063346,71.76136363636364,79.49326999208233,73.93329137822529,,60.06504065040651,57.23577235772358,41.07317073170732,32.650406504065046
Men,17,202,,,84.15841584158416,77.05882352941177,80.91603053435115,80.9145129224652,,,84.15841584158416,64.85148514851485,52.475247524752476
Men,18,1093,,,,54.34583714547118,81.98653198653199,64.07824540604624,,,,54.34583714547118,44.55626715462031
Men,19,271,,,,,57.93357933579336,57.93357933579336,,,,,57.93357933579336
Men,Mean,5038,93.95465994962217,62.79002320185615,94.0008449514153,66.84749849306812,78.06347930895943,74.24910558282718,93.95465994962217,62.35599078341015,60.56069678824171,46.52821481015314,38.56689162366018
Women,15,714,92.85714285714286,91.70437405731523,92.26973684210526,82.35294117647058,81.38528138528139,88.76329787234043,92.85714285714286,85.15406162464986,78.57142857142857,64.70588235294117,52.66106442577031
Women,16,1795,,67.24233983286908,92.04639602319801,78.12781278127812,80.52995391705069,77.99638626781771,,67.24233983286908,61.8941504178273,48.35654596100278,38.94150417827298
Women,17,250,,,70.39999999999999,79.54545454545455,80,75.61837455830388,,,70.39999999999999,55.99999999999999,44.8
Women,18,426,,,,52.58215962441315,81.25,62.46153846153846,,,,52.58215962441315,42.72300469483569
Women,19,139,,,,,43.884892086330936,43.884892086330936,,,,,43.884892086330936
Women,Mean,3324,92.85714285714286,73.84052074857608,89.49152542372882,74.49428320140721,78.01418439716312,79.73030821917808,92.85714285714286,72.33957752092468,66.98079014135557,53.18681318681319,43.02045728038508
